# q1 [Angstrom]    q2 [Angstrom]
  -0.3928338547    2.7044966382
  -0.3828952801    2.7243737873
   0.3828551420    2.7242624068
   0.3927881757    2.7043963394
  -0.0099467022    1.9386964830
   0.3928242017    2.7044920231
   0.3828888099    2.7243628067
   0.0099330337    1.9386860554
  -0.0099353918    1.9387144033
  -0.0069686709    1.9400611050
  -0.9877421976    3.9016081584
  -0.3772025430    2.6805288490
   0.7085664840    3.3558659246
   0.7133104094    3.3463780738
  -0.2130313413    5.1990615751
  -0.2383138939    5.2496266804
   0.1467954554    4.4794079818
   0.4727490973    4.8969701458
   0.9809091295    3.8806500814
   0.9680368872    3.9063945660
   0.4589202207    4.9246278992
   0.0000836663    5.8423010078
  -0.9807735267    3.9155455003
  -0.3702338720    2.6944661909
   0.4025022000    2.7606070477
   0.4117632478    2.7420849522
   0.6105396547    4.6560132443
   0.0047439254    1.9292451058
  -0.9215978252    3.7819286071
  -0.9468803779    3.8324937124
  -0.5617710286    3.0622750138
   0.5081600322    2.9351518868
   0.4952877899    2.9608963714
  -0.0138288767    3.9791297045
  -0.4726654310    4.8968028131
   0.5806941222    4.6725498397
   0.9742794752    3.8853791337
   0.9753255573    3.8832869694
  -0.9263417506    3.7724407563
  -0.9516243033    3.8230058616
  -0.5665149540    3.0527871630
  -0.0128722423    1.9445763070
  -0.5219889089    2.9628096401
  -0.9808254632    3.8804827487
  -0.0252825526    5.6756893629
   0.3598267967    4.9054706643
  -0.5091166666    2.9885541247
  -0.9679532209    3.9062272333
   0.0092610478    1.9370805521
   0.3944060652    2.7480632806
   0.4045841634    2.7277070842
   0.0101780982    1.9388949538
   0.3935853530    2.7239908893
   0.3946314351    2.7218987251
   0.3851093493    4.9560357696
  -0.4588365543    4.9244605665
   0.0010460821    1.9347280191
  -0.0106539308    1.9403549374
  -0.3812807012    2.6816084782
  -0.3706267704    2.7029163398
   0.3878139005    2.6943370596
   0.3778168145    2.7143312316
  -0.0112519772    1.9404033900
  -0.3964692485    2.7108379326
  -0.3852172713    2.7333418870
  -0.5435962183    4.5543046877
   0.3827761997    2.7015598517
   0.3828865140    2.7013392232
  -0.0099970860    1.9387034307
   0.0053047482    1.9286444732
  -0.5323538644    3.0039616983
  -0.9002097001    3.7396733698
   0.9263724180    3.7887522883
   0.9264827323    3.7885316598
  -0.5318077671    4.9038254906
  -0.0507634398    3.9417368360
   0.4799393204    2.8803313156
   0.4688794298    2.9024510967
  -0.5376586126    2.9933522019
  -0.9055144483    3.7290638734
  -0.3678558357    4.8043810985
   0.0001103142    1.9357868238
   0.4810443273    5.0053523702
