# distance [Angstrom]   occurrence (total=3422)
0.800000                            0
0.850000                            0
0.900000                            0
0.950000                          578
1.000000                          426
1.050000                            0
1.100000                            0
1.150000                            0
1.200000                            0
1.250000                            0
1.300000                            0
1.350000                            0
1.400000                            0
1.450000                            0
1.500000                            0
1.550000                            0
1.600000                            1
1.650000                           12
1.700000                           55
1.750000                          114
1.800000                           74
1.850000                           65
1.900000                           92
1.950000                           78
2.000000                           42
2.050000                           29
2.100000                           22
2.150000                            8
2.200000                            9
2.250000                            3
2.300000                            4
2.350000                            0
2.400000                            1
2.450000                            1
2.500000                            1
2.550000                            2
2.600000                            2
2.650000                            5
2.700000                            6
2.750000                           23
2.800000                           76
2.850000                           59
2.900000                           57
2.950000                           31
3.000000                           56
3.050000                          115
3.100000                          146
3.150000                          164
3.200000                          172
3.250000                          161
3.300000                          165
3.350000                          212
3.400000                          189
3.450000                          166
